STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1995,,9.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1995,,26.9,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1995,,30.2,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1995,,9.5,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1995,,11.9,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1995,,23,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1995,,25.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1995,,24.5,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1995,,25.7,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1996,,26.1,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1996,,27.4,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1996,,9.4,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1996,,24.7,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1996,,26.1,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1996,,25.8,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1996,,30,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1996,,9.8,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1996,,23.8,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1996,,12.1,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1997,,9.4,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1997,,27.9,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1997,,26.2,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1997,,26.5,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1997,,24.9,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1997,,24.7,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1997,,26.5,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1997,,29.8,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1997,,10.2,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1997,,12.2,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1998,,26.6,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1998,,26.8,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1998,,25.2,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1998,,25.7,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1998,,12.5,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1998,,9.5,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1998,,28.4,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1998,,26.9,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1998,,10.6,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1998,,29.7,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1999,,26.6,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1999,,12.7,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1999,,27,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1999,,25.6,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1999,,27.2,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1999,,27.1,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1999,,28.9,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1999,,9.6,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1999,,29.6,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,1999,,11,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2000,,13.1,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2000,,29.5,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2000,,11.2,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2000,,27.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2000,,10,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2000,,29.2,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2000,,26.7,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2000,,27.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2000,,26.5,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2000,,26.9,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2001,,29.4,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2001,,12,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2001,,13,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2001,,28.1,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2001,,27,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2001,,27.7,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2001,,28.5,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2001,,27.2,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2001,,9.8,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2001,,30,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2002,,29.3,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2002,,12.6,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2002,,27,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2002,,29.5,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2002,,13.2,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2002,,9.8,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2002,,30.5,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,OLDAGEDEP,Old-age dependency ratio,TOT,Total,PC,Percentage,A,Annual,2002,,28.7,,A,,,,,,,
