Country,Year,FLFP
Japan,2012,48.028
Japan,2013,48.739
Japan,2014,49.176
Japan,2015,49.409
Japan,2016,50.208
Japan,2017,51.031
Japan,2018,52.368
Japan,2019,53.24
Japan,2020,53.09
Japan,2021,53.515
Japan,2022,54.167
Japan,2023,54.847
Japan,2024,55.298
Mexico,1990,33.956
Mexico,1991,34.213
Mexico,1992,34.986
Mexico,1993,35.836
Mexico,1994,36.367
Mexico,1995,37.611
Mexico,1996,37.684
Mexico,1997,39.644
Mexico,1998,39.321
Mexico,1999,38.531
Mexico,2000,38.872
Mexico,2001,38.232
Mexico,2002,38.314
Mexico,2003,38.975
Mexico,2004,40.098
Mexico,2005,41.15
Mexico,2006,42.334
Mexico,2007,42.718
Mexico,2008,42.568
Mexico,2009,43.08
Mexico,2010,42.946
Mexico,2011,43.413
Mexico,2012,44.479
Mexico,2013,44.48
Mexico,2014,43.55
Mexico,2015,43.928
Mexico,2016,43.988
Mexico,2017,43.627
Mexico,2018,44.134
Mexico,2019,45.573
Mexico,2020,41.704
Mexico,2021,44.615
Mexico,2022,46.004
Mexico,2023,47.317
Mexico,2024,47.364
South Korea,1990,47.207
South Korea,1991,47.219
South Korea,1992,47.199
South Korea,1993,47.16
South Korea,1994,47.906
South Korea,1995,48.449
South Korea,1996,48.948
South Korea,1997,49.826
South Korea,1998,47.124
South Korea,1999,47.675
South Korea,2000,49.35
South Korea,2001,50.001
South Korea,2002,50.369
South Korea,2003,49.477
South Korea,2004,50.637
South Korea,2005,50.664
South Korea,2006,50.833
South Korea,2007,50.648
South Korea,2008,50.353
South Korea,2009,49.575
South Korea,2010,49.767
South Korea,2011,49.994
South Korea,2012,50.29
South Korea,2013,50.627
South Korea,2014,51.839
South Korea,2015,52.391
South Korea,2016,52.568
South Korea,2017,53.073
South Korea,2018,53.224
South Korea,2019,53.772
South Korea,2020,53.137
South Korea,2021,53.65
South Korea,2022,55.03
South Korea,2023,56.038
South Korea,2024,56.021
Spain,1990,33.352
Spain,1991,33.435
Spain,1992,34.455
Spain,1993,35.025
Spain,1994,36.312
Spain,1995,36.77
Spain,1996,37.279
Spain,1997,38.067
Spain,1998,38.425
Spain,1999,39.117
Spain,2000,40.657
Spain,2001,39.439
Spain,2002,41.891
Spain,2003,43.378
Spain,2004,44.756
Spain,2005,46.176
Spain,2006,47.598
Spain,2007,48.547
Spain,2008,49.934
Spain,2009,51.014
Spain,2010,51.711
Spain,2011,52.29
Spain,2012,52.895
Spain,2013,52.831
Spain,2014,52.628
Spain,2015,52.62
Spain,2016,52.485
Spain,2017,52.281
Spain,2018,51.872
Spain,2019,52.039
Spain,2020,50.922
Spain,2021,52.392
Spain,2022,52.567
Spain,2023,52.842
Spain,2024,52.598
Sweden,1990,62.818
Sweden,1991,62.146
Sweden,1992,60.79
Sweden,1993,59.365
Sweden,1994,58.551
Sweden,1995,59.007
Sweden,1996,59.075
Sweden,1997,58.598
Sweden,1998,57.363
Sweden,1999,58.378
Sweden,2000,58.106
Sweden,2001,58.578
Sweden,2002,58.716
Sweden,2003,58.793
Sweden,2004,58.466
Sweden,2005,59.116
Sweden,2006,59.232
Sweden,2007,59.706
Sweden,2008,59.836
Sweden,2009,59.378
Sweden,2010,58.99
Sweden,2011,59.54
Sweden,2012,59.731
Sweden,2013,60.14
Sweden,2014,60.293
Sweden,2015,60.582
Sweden,2016,60.713
Sweden,2017,61.06
Sweden,2018,61.283
Sweden,2019,61.346
Sweden,2020,60.624
Sweden,2021,60.928
Sweden,2022,61.217
Sweden,2023,61.763
Sweden,2024,61.679
